NaCl_1hour	NaCl_24hours
11.04220641	5.676278255
10.69743963	4.552722245
9.570042196	4.499949421
9.415153156	4.464340477
7.953337166	4.094374135
7.906431947	3.625260703
7.570834458	3.582025869
7.423800987	3.53767421
7.14140991	3.102096894
7.04249053	3.089388215
6.761121921	2.894633828
6.453487995	2.606377089
6.257001532	2.606377089
6.126872123	2.481212475
6.106141997	2.367551123
6.019704946	2.365943188
5.922468027	2.344027752
5.922468027	2.343273724
5.914593181	2.343112572
5.786937396	2.341046766
5.723691756	2.261671154
5.46262708	2.246447162
5.171162706	2.232899472
5.150075466	2.213367741
5.116593368	2.165978049
5.108711826	2.081971271
5.026746659	2.051201913
4.997377383	2.042656083
4.992476305	2.021275276
4.981527662	1.970405117
4.855970203	1.969849934
4.730043217	1.928126765
4.664079355	1.918106742
4.646118801	1.904163218
4.644535324	1.890302274
4.576272397	1.84917948
4.567285133	1.828519532
4.530062088	1.819179266
4.46776078	1.7766531
4.44501636	1.75775218
4.441414538	1.73542743
4.406054585	1.721849124
4.376340726	1.721166884
4.30725165	1.704723121
4.283619659	1.684354401
4.222685328	1.684227081
4.211201574	1.683909687
4.162048961	1.673032578
4.153609285	1.615899632
4.112354807	1.606369757
4.107742628	1.598976554
4.099421189	1.592087899
4.062188615	1.580256496
4.03581036	1.575947388
4.022416344	1.565623003
3.996466729	1.538658013
3.991687053	1.531912403
3.983440856	1.529235008
3.97968879	1.529082945
3.955653843	1.524466707
3.952621511	1.519899827
3.952437556	1.513215282
3.950153203	1.500975057
3.946628727	1.481587859
3.938206664	1.481090007
3.922796189	1.463563384
3.871827649	1.409833108
3.867857453	1.400762747
3.867425244	1.389073333
3.865498688	1.378866137
3.83926619	1.374922649
3.81154583	1.373099588
3.760994844	1.369225125
3.760994844	1.367241205
3.737261979	1.364474429
3.726189252	1.363004312
3.680307562	1.353505255
3.677862844	1.343092705
3.66889243	1.343056969
3.60909618	1.335596899
3.58853549	1.320302684
3.556392347	1.307501995
3.552313931	1.306661338
3.51622609	1.294373229
3.502784683	1.292425821
3.501502991	1.289938691
3.501458347	1.286678636
3.488494584	1.278000624
3.469776303	1.274480404
3.460473713	1.269276383
3.41514854	1.269000705
3.372799744	1.264176304
3.365358021	1.259448074
3.360531323	1.254115919
3.354205424	1.252321504
3.354205424	1.243763848
3.354205424	1.231830412
3.323211482	1.228465743
3.321156768	1.224285602
3.305916313	1.223200241
3.287754766	1.217599411
3.274580791	1.216687133
3.265718717	1.21135382
3.245346189	1.191833252
3.235901781	1.191273942
3.225883283	1.190188042
3.22287807	1.18780467
3.222615745	1.179058236
3.21947687	1.176635375
3.201987665	1.162329071
3.122473268	1.158839671
3.108140902	1.153705565
3.106636482	1.152252587
3.085687638	1.150612276
3.067950303	1.150284343
3.063652893	1.148538626
3.054265667	1.147610913
3.00958368	1.142959565
3.001016197	1.142723805
2.958999537	1.141038579
2.938938613	1.1402772
2.932921404	1.129075534
2.905640968	1.125848481
2.874666598	1.120328163
2.873503277	1.118485694
2.847332237	1.111546997
2.830282914	1.110685241
2.828656868	1.108797389
2.827980571	1.108770168
2.826513451	1.105498898
2.825502151	1.091515914
2.815782106	1.086309554
2.813121679	1.082592449
2.786998085	1.080391318
2.784569774	1.07628476
2.770515652	1.074405734
2.768771011	1.073217746
2.752442392	1.046867797
2.743821246	1.042590187
2.740405841	1.041988489
2.72994598	1.040199328
2.721056605	1.037430959
2.719168494	1.030013544
2.710216808	1.028582075
2.710216808	1.021752799
2.691790905	1.021440524
2.688316836	1.020177882
2.688267805	1.015282232
2.679945078	1.002240076
2.654184308	1.001195385
2.646069832	0.999369336
2.638086139	0.998710152
2.625841249	0.991015523
2.59887412	0.986572653
2.589802268	0.984905923
2.574418505	0.984766476
2.569398746	0.984352896
2.568367492	0.984281263
2.563774301	0.982148721
2.563421052	0.979613545
2.550733819	0.975569172
2.537054879	0.975511353
2.530801635	0.968878873
2.530728811	0.966468078
2.529019197	0.964690487
2.523381858	0.959144214
2.520882087	0.957586459
2.520610279	0.956105892
2.509607338	0.953164448
2.508370425	0.950385041
2.500231528	0.948462024
2.493148244	0.947330369
2.483243284	0.944009464
2.478432645	0.94388664
2.474196822	0.935954726
2.452183801	0.928218286
2.435116791	0.921523238
2.429877653	0.920827183
2.427869072	0.920196564
2.41917347	0.919047093
2.41901453	0.915014378
2.415640104	0.914400769
2.415498252	0.910852921
2.415326936	0.907982459
2.41524305	0.905913113
2.409245174	0.905873466
2.388472015	0.904160669
2.367402099	0.903632207
2.354026504	0.901946757
2.350652411	0.900546463
2.350383721	0.898664806
2.345905744	0.895800123
2.337243172	0.895799181
2.335534828	0.895757527
2.332794531	0.895578831
2.326854524	0.893940775
2.32212341	0.8892872
2.296340114	0.886403244
2.289582026	0.885580164
2.286457676	0.884638076
2.279567929	0.879379032
2.273233055	0.879260667
2.273002636	0.878162056
2.272361261	0.876055483
2.261624986	0.871448779
2.251199885	0.869709498
2.249241547	0.86941207
2.24348882	0.868060536
2.23770371	0.862768173
2.226021728	0.855893823
2.222648945	0.851118724
2.222625546	0.850481352
2.222576709	0.847331659
2.208763822	0.846517965
2.200404004	0.830251376
2.194048352	0.829071062
2.187066321	0.828899701
2.186177553	0.828821804
2.158420471	0.828817517
2.152211025	0.828713323
2.15136465	0.828690843
2.135678999	0.828618867
2.117452946	0.8285856
2.115780874	0.828468515
2.113743838	0.828462639
2.112345696	0.828462639
2.106634973	0.823314326
2.101720565	0.821951063
2.100755029	0.818199135
2.092609574	0.816530866
2.0911705	0.812546813
2.084057653	0.809837311
2.082681399	0.8094349
2.072508469	0.800795158
2.060437697	0.795598096
2.042692101	0.793508811
2.042191799	0.792950475
2.037894154	0.78706883
2.025439074	0.785413427
2.024336385	0.783148451
2.020136991	0.781778658
2.020134605	0.780388995
2.018126661	0.774506891
2.015441452	0.771891922
2.005459224	0.771414888
2.00332579	0.768847111
2	0.768654689
1.996535189	0.768593949
1.992820835	0.76783559
1.975551704	0.766677853
1.974828805	0.763480128
1.969747716	0.758311223
1.966157901	0.758311223
1.96596701	0.757764965
1.965383991	0.753130414
1.962138501	0.747207074
1.961735841	0.747168887
1.961460783	0.74393631
1.955304946	0.742552521
1.949076894	0.73986931
1.946071689	0.735603236
1.931851313	0.73535412
1.914617939	0.72620775
1.894680542	0.723615115
1.890889354	0.721860994
1.887926284	0.721779579
1.882902708	0.718858126
1.882416387	0.718060486
1.873206019	0.717358391
1.857732206	0.717058166
1.856978048	0.710183552
1.856977668	0.708357665
1.855808553	0.703520031
1.852665703	0.699529432
1.852661007	0.699425168
1.852469961	0.691243857
1.848778913	0.691073303
1.846741091	0.688570249
1.844106394	0.687595565
1.834563497	0.687278876
1.831089138	0.684639152
1.830500259	0.684417889
1.830397915	0.684385402
1.830049404	0.683357875
1.8293941	0.679569807
1.827235168	0.675163814
1.826032691	0.674243224
1.821204757	0.66586017
1.809358128	0.664883838
1.802487842	0.660753157
1.798420393	0.658895121
1.79179403	0.654056517
1.791193631	0.653651336
1.789682796	0.649608533
1.784492892	0.645812665
1.784482631	0.643249594
1.784072638	0.639001168
1.776104381	0.634205578
1.772398754	0.628031223
1.766869525	0.626208697
1.763931088	0.621586909
1.761122141	0.620367133
1.761016933	0.619598382
1.752523694	0.618431563
1.744641579	0.614859292
1.74092097	0.610659649
1.740637422	0.60988038
1.740413662	0.609731632
1.739385271	0.608759071
1.737283159	0.606352831
1.71741732	0.606342986
1.71583086	0.606341613
1.714232791	0.606278248
1.70567807	0.606253863
1.704783679	0.606151945
1.702228429	0.606072386
1.69896608	0.601061516
1.696380995	0.598401055
1.695510595	0.597377879
1.69405682	0.596811612
1.690982568	0.594665499
1.688314098	0.59442649
1.681742201	0.5862054
1.676206596	0.585630758
1.676156172	0.58490748
1.673281116	0.583436873
1.664736709	0.582312935
1.660734144	0.580909714
1.654540642	0.576275604
1.645847452	0.574317811
1.63763943	0.572781961
1.625089463	0.572781961
1.623641167	0.572781961
1.622580454	0.571830722
1.622223121	0.571607725
1.620963475	0.570807501
1.618892297	0.567524021
1.616628129	0.566624979
1.616018756	0.565282348
1.612821861	0.565161359
1.60859181	0.564547864
1.601890786	0.564338443
1.601674597	0.564338443
1.600459352	0.564338443
1.596816865	0.564338443
1.591559254	0.563664229
1.586181999	0.560484743
1.585970301	0.560379709
1.584287602	0.557390059
1.583163199	0.55596176
1.582055203	0.555744999
1.573666738	0.554749263
1.572475493	0.552722164
1.567247857	0.551897674
1.562738228	0.55002092
1.56239596	0.544713609
1.562337452	0.540885514
1.55924706	0.54078131
1.557987991	0.539315327
1.557379746	0.536251695
1.557053414	0.535921494
1.556321814	0.534743503
1.556101089	0.53231907
1.552545834	0.529501218
1.550206412	0.529161159
1.545483371	0.527247003
1.540390537	0.524412237
1.539297705	0.523509924
1.534553437	0.522606349
1.533900036	0.519974951
1.53389574	0.51694627
1.528883627	0.515329082
1.527742395	0.510454419
1.526751163	0.509642951
1.515060391	0.509352986
1.511474942	0.508331457
1.505642952	0.507876733
1.504948416	0.506744902
1.502166462	0.50673619
1.499071586	0.506506545
1.498301115	0.504423095
1.497703498	0.503288715
1.487365068	0.501751671
1.486346701	0.50134524
1.477634813	0.499442515
1.475976004	0.499381128
1.46894359	0.499370766
1.464468087	0.497385967
1.462540398	0.49697576
1.462537741	0.496074027
1.461718389	0.495233808
1.460918152	0.494634487
1.441510057	0.494346584
1.431305734	0.492688666
1.42406088	0.488954434
1.419602024	0.488948386
1.415654959	0.488801056
1.4154735	0.48606199
1.415263185	0.485106511
1.415261604	0.484538116
1.415260022	0.483877526
1.411863128	0.481090007
1.408867956	0.480822171
1.400687902	0.480815407
1.397037013	0.480795186
1.390097114	0.480793916
1.385811741	0.480745968
1.372786171	0.480687179
1.360755249	0.480596229
1.356233091	0.478996345
1.354490116	0.476952849
1.353822772	0.47626568
1.353534801	0.474148804
1.352077409	0.474053648
1.351776241	0.473091548
1.34974968	0.471345855
1.349172366	0.470581677
1.348756149	0.468449606
1.348132229	0.466888915
1.344873575	0.464288167
1.342796359	0.461921171
1.33968437	0.459733103
1.335445761	0.458797462
1.334756317	0.455781014
1.334717869	0.454664954
1.333361678	0.454300803
1.332921808	0.454224872
1.332798046	0.453567025
1.332792784	0.450481721
1.332017832	0.449245732
1.325266831	0.444553625
1.322183266	0.442116154
1.320866318	0.44082781
1.315507203	0.438200443
1.313115278	0.438031105
1.312228157	0.436602849
1.309069337	0.436427829
1.303794028	0.436399891
1.303432054	0.435954844
1.28644119	0.433975116
1.286348035	0.433343389
1.285929231	0.432779999
1.285128469	0.432637142
1.282639994	0.431998963
1.281401521	0.426981765
1.278586038	0.424017772
1.277558422	0.42352103
1.274165608	0.423511333
1.27115956	0.423440284
1.270911714	0.423042479
1.270132487	0.421511861
1.263247572	0.419978241
1.263090271	0.419877078
1.262663458	0.419057389
1.261997879	0.418626361
1.261932046	0.417599164
1.259154028	0.41371843
1.253517094	0.413701844
1.252287264	0.411705389
1.252287264	0.410468138
1.252287264	0.410107687
1.251811591	0.409978938
1.250392489	0.409606118
1.249467084	0.409308544
1.248495222	0.406044406
1.244097186	0.405052068
1.24347983	0.403592172
1.239094795	0.403356328
1.238647299	0.400981495
1.238138542	0.399860792
1.231638735	0.39574388
1.225468554	0.392361204
1.222601009	0.39032697
1.221337876	0.389804185
1.221337876	0.388038999
1.217358296	0.385367806
1.216268176	0.382818237
1.214054293	0.382805335
1.211996826	0.381260824
1.211926151	0.381193447
1.211101154	0.381085952
1.209313872	0.380594424
1.208766914	0.378883089
1.208766914	0.378822384
1.204929972	0.375890186
1.200929133	0.375564476
1.196478634	0.375300039
1.195511004	0.374971051
1.193047583	0.373880804
1.192942062	0.373626499
1.192102951	0.37186747
1.191571047	0.371441886
1.191571047	0.371315515
1.191571047	0.370007694
1.191571047	0.363458471
1.191571047	0.360567361
1.191571047	0.360049701
1.191571047	0.358478485
1.182103345	0.356734476
1.177751546	0.35592697
1.176828323	0.355897378
1.17672725	0.353562633
1.173444065	0.351991553
1.170767388	0.351754351
1.167411501	0.350284019
1.165825683	0.349231161
